game_id,receiver_player_id,receiver_player_name,week,season,posteam,defteam,Height_Inches,Wt,40YD,Vertical,Years_in_League,OPP_DEF__Fantasy_Points_Allowed__3_Games,OPP_DEF__Fantasy_Points_Allowed__Last_Game,OWN_DEF__Fantasy_Points_Allowed__3_Games,OWN_DEF__Fantasy_Points_Allowed__Last_Game,Total_Yards__3_Games,Total_Receptions__3_Games,Total_Touchdowns__3_Games,Targets__3_Games,Avg_Depth_of_Target__3_Games,Avg_Score_Differential__3_Games,3rd_Down_Targets__3_Games,4th_Down_Targets__3_Games,Short_Targets__3_Games,Deep_Targets__3_Games,YBC__3_Games,YAC__3_Games,Fantasy_Points_Scored__3_Games,Total_Yards__Last_Games,Total_Receptions__Last_Game,Total_Touchdowns__Last_Game,Targets__Last_Game,Avg_Depth_of_Target__Last_Game,Avg_Score_Differential__Last_Game,3rd_Down_Targets__Last_Game,4th_Down_Targets__Last_Game,Short_Targets__Last_Game,Deep_Targets__Last_Game,YBC__Last_Game,YAC__Last_Game,Fantasy_Points_Scored__Last_Game,home_game_flag,Fantasy_Points__HalfPPR
2013121600,00-0021999,N.Burleson,15,2013,DET,BAL,72,197,4.51,42.5,10,39.66666667,47.5,30.83333333,31.6,31.66666667,3.333333333,0.333333333,5.333333333,5.066666667,4.7,2,0,5.333333333,0,16,18,12.73333333,18,2,0,5,7,0.4,2,0,5,0,11,7,2.8,1,7.1
2013122210,00-0021999,N.Burleson,16,2013,DET,NYG,72,197,4.51,42.5,10,43.53333333,37.8,27.6,32,23,2,0,3.666666667,5.266666667,5.2,1,0,3.666666667,0,10,13,2.366666667,51,4,0,5,5.8,0.2,1,0,5,0,19,32,7.1,1,2.2
2013122906,00-0021999,N.Burleson,17,2013,DET,MIN,72,197,4.51,42.5,10,69.2,73.3,35.46666667,42.8,27,2.666666667,0,4,5.933333333,-1.466666667,1.333333333,0,4,0,13.33333333,13.66666667,2.6,12,2,0,2,5,-5,1,0,2,0,10,2,2.2,0,8.9
2013102005,00-0022044,A.Johnson,7,2013,HOU,KC,74,230,4.41,39,10,40.6,42.4,24.66666667,35.7,79,7,0.333333333,10,9.661111111,-9.902777778,2,0,7,2.333333333,55.66666667,23.66666667,14.43333333,88,7,0,8,7.25,-18.875,1,0,8,0,53,35,12.3,0,10.9
2013110310,00-0022044,A.Johnson,9,2013,HOU,IND,74,230,4.41,39,10,51.4,72,30.66666667,36.1,72,5.333333333,0.333333333,8,10.43888889,-11.125,1.666666667,0,5.666666667,1.666666667,48,24.33333333,11.9,89,4,0,6,13.16666667,-1,2,0,4,2,56,33,10.9,1,45.4
2013111009,00-0022044,A.Johnson,10,2013,HOU,ARI,74,230,4.41,39,10,49.4,53.5,42.16666667,54.7,135.3333333,6.666666667,1,9,12.70299145,-4.009615385,2,0,6.666666667,2.333333333,93,42.33333333,23.33333333,229,9,3,13,17.69230769,7.846153846,3,0,8,5,170,59,45.4,0,18.2
2013111703,00-0022044,A.Johnson,11,2013,HOU,OAK,74,230,4.41,39,10,58.76666667,31.8,45.76666667,46.5,118.3333333,6,1.666666667,10.33333333,13.98076923,1.754273504,2.666666667,0,7,3.333333333,84.33333333,34,13.33333333,37,5,2,12,11.08333333,-1.583333333,3,0,9,3,27,10,18.2,1,16.6
2013112404,00-0022044,A.Johnson,12,2013,HOU,JAX,74,230,4.41,39,10,52.6,68.7,48.93333333,45.6,127.3333333,8,1.666666667,14,12.63109603,-0.324157868,3.666666667,0.333333333,10,4,90.66666667,36.66666667,35.8,116,10,0,17,9.117647059,-7.235294118,5,1,13,4,75,41,16.6,1,4.6
2013120109,00-0022044,A.Johnson,13,2013,HOU,NE,74,230,4.41,39,10,54.5,36.2,42.36666667,35,63,5.666666667,0.666666667,11.66666667,10.73366013,-5.272875817,3.666666667,0.333333333,8.666666667,3,40.66666667,22.33333333,13.66666667,36,2,0,6,12,-7,3,0,4,2,20,16,4.6,1,16.1
2013120500,00-0022044,A.Johnson,14,2013,HOU,JAX,74,230,4.41,39,10,41.93333333,32.5,48.2,64,91,6.666666667,0,10.66666667,10.63180828,-5.041394336,2.666666667,0.333333333,8.333333333,2.333333333,59.33333333,31.66666667,16.43333333,121,8,0,9,10.77777778,-0.888888889,0,0,8,1,83,38,16.1,0,22.9
2013121502,00-0022044,A.Johnson,15,2013,HOU,IND,74,230,4.41,39,10,50,57.5,45.73333333,38.2,103.6666667,8.333333333,0,12,10.68783069,-5.470899471,3,0.333333333,9.666666667,2.333333333,77.33333333,35.66666667,10.7,154,15,0,21,9.285714286,-8.523809524,6,1,17,4,129,53,22.9,0,4.8
2013122203,00-0022044,A.Johnson,16,2013,HOU,DEN,74,230,4.41,39,10,39.86666667,35,47.53333333,40.4,97.66666667,9.666666667,0,13.33333333,8.587830688,-7.237566138,2.666666667,0.333333333,11.33333333,2,82,31.33333333,12.33333333,18,6,0,10,5.7,-12.3,2,0,9,1,34,3,4.8,1,8.8
2013122911,00-0022044,A.Johnson,17,2013,HOU,TEN,74,230,4.41,39,10,56.6,48.1,52.93333333,80.2,78.33333333,8.666666667,0,14.66666667,11.96959707,-9.531013431,5,0.333333333,10.66666667,4,80.33333333,26.66666667,18.2,63,5,0,13,20.92307692,-7.769230769,7,0,6,7,78,24,8.8,0,7.9
2014090703,00-0022044,A.Johnson,1,2014,HOU,WAS,74,230,4.41,39,11,37.96666667,29.1,48.36666667,24.5,43.33333333,5.666666667,0,10.66666667,12.5039886,-7.726780627,3.666666667,0,7.333333333,3.333333333,52.33333333,10.33333333,5.833333333,49,6,0,9,10.88888889,-3.111111111,2,0,7,2,45,4,7.9,1,12.3
